id,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,DateIn,DateRetrofit,DateOut,lat,lon,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,EIC,projectID
3521,Lindland,Hydro,Reservoir,Store,Norway,8.1,,2002.0,2002.0,,58.358826,6.300171,575.604938271605,18.8,106.0,4662.4,{nan},"{'JRC': {'JRC-N790'}, 'OPSD': {'OEU-3908'}}"
3522,Lindana,Hydro,Reservoir,Store,Norway,1.45,,2011.0,2011.0,,58.470343,7.755458,,0.0,135.0,0.0,{nan},"{'JRC': {'JRC-N1615'}, 'OPSD': {'OEU-3909'}}"
3523,Mageli,Hydro,Reservoir,Store,Norway,29.0,,1956.0,2009.0,,60.132949,6.628084,143.68965517241378,3.0,610.0,4167.0,{nan},"{'JRC': {'JRC-N286'}, 'OPSD': {'OEU-4031', 'OEU-4032'}}"
3524,Mago,Hydro,Reservoir,Store,Norway,1.6,,1960.0,1984.0,,60.320995,11.26002,,0.0,8.0,0.0,{nan},"{'JRC': {'JRC-N261'}, 'OPSD': {'OEU-3944', 'OEU-3947', 'OEU-3946', 'OEU-3945'}}"
3525,Makkoren,Hydro,Reservoir,Store,Norway,4.0,,2012.0,2012.0,,61.239979,6.247421,1407.4,24.8,93.0,5629.6,{nan},"{'JRC': {'JRC-N1714'}, 'OPSD': {'OEU-3948'}}"
3526,Malset,Hydro,Reservoir,Store,Norway,20.0,,1967.0,1967.0,,60.978203,6.516092,1903.6150000000002,95.9,175.0,38072.3,{nan},"{'JRC': {'JRC-N287'}, 'OPSD': {'OEU-4033'}}"
3527,Molnelva,Hydro,Reservoir,Store,Norway,1.2,,2008.0,2008.0,,69.015515,17.921611,,0.0,99.0,0.0,{nan},"{'JRC': {'JRC-N1403'}, 'OPSD': {'OEU-4027'}}"
3528,Mollen,Hydro,Reservoir,Store,Norway,2.0,,1942.0,1977.0,,60.476307,5.738424,,0.0,80.0,0.0,{nan},"{'JRC': {'JRC-N485'}, 'OPSD': {'OEU-4025', 'OEU-3989'}}"
3529,Molleelva,Hydro,Reservoir,Store,Norway,4.5,,2018.0,2018.0,,69.950044,23.06281,,0.0,395.64,0.0,{nan},"{'JRC': {'JRC-N1928'}, 'OPSD': {'OEU-4023'}}"
3530,Moksa,Hydro,Reservoir,Store,Norway,15.0,,1990.0,1990.0,,61.319056,10.300177,,0.0,501.0,0.0,{nan},"{'JRC': {'JRC-N274'}, 'OPSD': {'OEU-3995'}}"
